SchoolYear,ULCSCode,SchoolName,LearningNetwork,Sector,SubSector,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,MaleCount,MalePCT,FemaleCount,FemalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2022-2023,5580,"Stetson, John B. Middle School",Network 5,District,District,All Grades,616,171,27.76,445,72.24,154,25,462,75,302,49.03,314,50.97,1,0.16,0,0,118,19.16,467,75.81,16,2.6,1,0.16,13,2.11,100
2022-2023,7060,Olney High School,Network 4,District,District,All Grades,1192,393,32.97,799,67.03,241,20.22,951,79.78,684,57.38,508,42.62,1,0.08,67,5.62,403,33.81,666,55.87,42,3.52,0,0,13,1.09,100
2022-2023,8130,Northeast Community Propel Academy,Network 9,District,District,All Grades,1736,612,35.25,1124,64.75,172,9.91,1564,90.09,885,50.98,850,48.96,3,0.17,301,17.34,369,21.26,640,36.87,71,4.09,0,0,352,20.28,100
2022-2023,8891,One Bright Ray Simpson - Evening,Opportunity,Alternative,Alt Contracted,All Grades,81,5,6.17,76,93.83,5,6.17,76,93.83,16,19.75,65,80.25,0,0,0,0,31,38.27,46,56.79,0,0,0,0,4,4.94,0
2022-2023,5581,Stetson Middle School Continuation Academy,Opportunity,Alternative,Alt Contracted,All Grades,21,4,19.05,17,80.95,12,57.14,9,42.86,17,80.95,4,19.05,1,4.76,0,0,5,23.81,14,66.67,1,4.76,0,0,0,0,15.24
2022-2023,3436,KIPP Octavius Catto Charter School,Charters,Charter,Phila Charters,All Grades,198,,,,,10,5.05,188,94.95,111,56.06,87,43.94,0,0,1,0.51,187,94.44,3,1.52,2,1.01,1,0.51,4,2.02,
2022-2023,7061,Olney HS Continuation Academy,Opportunity,Alternative,Alt Contracted,All Grades,18,2,11.11,16,88.89,12,66.67,6,33.33,15,83.33,3,16.67,0,0,0,0,14,77.78,4,22.22,0,0,0,0,0,0,26.67
2022-2023,1010,John Bartram High School,Network 13,District,District,All Grades,481,83,17.26,398,82.74,109,22.66,372,77.34,273,56.76,208,43.24,0,0,26,5.41,375,77.96,65,13.51,11,2.29,0,0,4,0.83,100
2022-2023,1020,West Philadelphia High School,Network 13,District,District,All Grades,549,11,2,538,98,204,37.16,345,62.84,327,59.56,222,40.44,2,0.36,7,1.28,491,89.44,18,3.28,27,4.92,0,0,4,0.73,100
2022-2023,1030,High School of the Future,Innovation,District,District,All Grades,569,15,2.64,554,97.36,118,20.74,451,79.26,280,49.21,287,50.44,4,0.7,6,1.05,521,91.56,22,3.87,11,1.93,0,0,5,0.88,100
2022-2023,1050,Paul Robeson High School for Human Services,Network 1,District,District,All Grades,315,16,5.08,299,94.92,63,20,252,80,140,44.44,175,55.56,0,0,3,0.95,299,94.92,5,1.59,4,1.27,0,0,4,1.27,100
2022-2023,1100,William L. Sayre High School,Network 13,District,District,All Grades,358,10,2.79,348,97.21,143,39.94,215,60.06,194,54.19,164,45.81,2,0.56,1,0.28,316,88.27,14,3.91,24,6.7,0,0,1,0.28,100
2022-2023,1130,William T. Tilden School,Network 10,District,District,All Grades,333,73,21.92,260,78.08,68,20.42,265,79.58,167,50.15,166,49.85,0,0,21,6.31,253,75.98,45,13.51,7,2.1,0,0,7,2.1,100
2022-2023,1190,Motivation High School,Network 1,District,District,All Grades,336,33,9.82,303,90.18,55,16.37,281,83.63,160,47.62,175,52.08,2,0.6,2,0.6,311,92.56,11,3.27,9,2.68,0,0,1,0.3,100
2022-2023,1200,John Barry School,Network 5,District,District,All Grades,506,12,2.37,494,97.63,97,19.17,409,80.83,251,49.6,255,50.4,0,0,1,0.2,472,93.28,24,4.74,6,1.19,0,0,3,0.59,100
2022-2023,1230,William C. Bryant School,Acceleration,District,District,All Grades,329,4,1.22,325,98.78,46,13.98,283,86.02,179,54.41,150,45.59,2,0.61,2,0.61,312,94.83,5,1.52,6,1.82,0,0,2,0.61,100
2022-2023,1250,Joseph W. Catharine School,Network 12,District,District,All Grades,409,87,21.27,322,78.73,51,12.47,358,87.53,215,52.57,194,47.43,0,0,27,6.6,291,71.15,65,15.89,22,5.38,1,0.24,3,0.73,100
2022-2023,1260,Benjamin B. Comegys School,Network 12,District,District,All Grades,322,3,0.93,319,99.07,36,11.18,286,88.82,154,47.83,168,52.17,0,0,3,0.93,304,94.41,6,1.86,6,1.86,0,0,3,0.93,100
2022-2023,1280,Sadie Alexander School,Network 2,District,District,All Grades,580,67,11.55,513,88.45,46,7.93,534,92.07,299,51.55,275,47.41,0,0,154,26.55,76,13.1,27,4.66,58,10,2,0.34,263,45.34,50.21
2022-2023,1290,Andrew Hamilton School,Network 2,District,District,All Grades,347,6,1.73,341,98.27,64,18.44,283,81.56,190,54.76,157,45.24,2,0.58,1,0.29,322,92.8,13,3.75,7,2.02,0,0,2,0.58,100
2022-2023,1300,Avery D. Harrington School,Network 12,District,District,All Grades,338,2,0.59,336,99.41,68,20.12,270,79.88,194,57.4,144,42.6,1,0.3,1,0.3,318,94.08,5,1.48,10,2.96,0,0,3,0.89,100
2022-2023,1340,Henry C. Lea School,Network 2,District,District,All Grades,451,76,16.85,375,83.15,70,15.52,381,84.48,247,54.77,203,45.01,2,0.44,68,15.08,276,61.2,27,5.99,19,4.21,2,0.44,57,12.64,100
2022-2023,1350,William C. Longstreth School,Network 10,District,District,All Grades,252,4,1.59,248,98.41,67,26.59,185,73.41,141,55.95,111,44.05,0,0,0,0,245,97.22,4,1.59,2,0.79,0,0,1,0.4,100
2022-2023,1360,Morton McMichael School,Network 5,District,District,All Grades,284,3,1.06,281,98.94,90,31.69,194,68.31,147,51.76,137,48.24,1,0.35,0,0,262,92.25,9,3.17,7,2.46,0,0,5,1.76,100
2022-2023,1370,S. Weir Mitchell School,Network 5,District,District,All Grades,339,4,1.18,335,98.82,49,14.45,290,85.55,164,48.38,175,51.62,1,0.29,0,0,314,92.63,15,4.42,9,2.65,0,0,0,0,100
2022-2023,1380,Thomas G. Morton School,Network 11,District,District,All Grades,369,47,12.74,322,87.26,52,14.09,317,85.91,193,52.3,176,47.7,2,0.54,15,4.07,307,83.2,33,8.94,7,1.9,0,0,5,1.36,100
2022-2023,1390,Samuel Powel School,Network 2,District,District,All Grades,295,4,1.36,291,98.64,40,13.56,255,86.44,150,50.85,145,49.15,1,0.34,14,4.75,182,61.69,12,4.07,11,3.73,0,0,75,25.42,94.92
2022-2023,1400,John M. Patterson School,Network 10,District,District,All Grades,362,46,12.71,316,87.29,30,8.29,332,91.71,194,53.59,168,46.41,1,0.28,23,6.35,297,82.04,29,8.01,5,1.38,0,0,7,1.93,100
2022-2023,1410,James Rhoads School,Acceleration,District,District,All Grades,421,1,0.24,420,99.76,90,21.38,331,78.62,221,52.49,200,47.51,0,0,2,0.48,401,95.25,11,2.61,5,1.19,0,0,2,0.48,100
2022-2023,1420,Martha Washington School,Network 2,District,District,All Grades,223,3,1.35,220,98.65,96,43.05,127,56.95,124,55.61,99,44.39,0,0,3,1.35,201,90.13,6,2.69,10,4.48,0,0,3,1.35,100
2022-2023,1440,Penrose School,Network 10,District,District,All Grades,403,49,12.16,354,87.84,103,25.56,300,74.44,222,55.09,181,44.91,1,0.25,17,4.22,338,83.87,17,4.22,20,4.96,0,0,10,2.48,100
2022-2023,1460,Add B. Anderson School,Acceleration,District,District,All Grades,386,3,0.78,383,99.22,66,17.1,320,82.9,182,47.15,204,52.85,1,0.26,1,0.26,366,94.82,10,2.59,4,1.04,0,0,4,1.04,100
2022-2023,1470,Alain Locke School,Network 2,District,District,All Grades,284,23,8.1,261,91.9,73,25.7,211,74.3,155,54.58,129,45.42,1,0.35,27,9.51,216,76.06,23,8.1,13,4.58,1,0.35,2,0.7,100
2022-2023,1490,Rudolph Blankenburg School,Acceleration,District,District,All Grades,244,1,0.41,243,99.59,47,19.26,197,80.74,124,50.82,120,49.18,1,0.41,1,0.41,230,94.26,8,3.28,3,1.23,0,0,1,0.41,100
2022-2023,1580,Middle Years Alternative School,Network 2,District,District,All Grades,171,12,7.02,159,92.98,35,20.47,136,79.53,83,48.54,88,51.46,0,0,6,3.51,144,84.21,18,10.53,3,1.75,0,0,0,0,100
2022-2023,2000,South Philadelphia High School,Network 13,District,District,All Grades,595,218,36.64,377,63.36,200,33.61,395,66.39,355,59.66,240,40.34,0,0,63,10.59,240,40.34,215,36.13,25,4.2,0,0,52,8.74,100
2022-2023,2010,Benjamin Franklin High School,Network 4,District,District,All Grades,464,80,17.24,384,82.76,166,35.78,298,64.22,277,59.7,186,40.09,0,0,16,3.45,328,70.69,91,19.61,20,4.31,0,0,9,1.94,100
2022-2023,2020,High School for Creative and Performing Arts,Network 1,District,District,All Grades,744,17,2.28,727,97.72,34,4.57,710,95.43,171,22.98,558,75,0,0,46,6.18,369,49.6,94,12.63,42,5.65,1,0.13,192,25.81,79.57
2022-2023,2050,Science Leadership Academy Middle School,Innovation,District,District,All Grades,360,6,1.67,354,98.33,61,16.94,299,83.06,205,56.94,155,43.06,1,0.28,21,5.83,227,63.06,16,4.44,14,3.89,0,0,81,22.5,98.22
2022-2023,2140,Julia R. Masterman School,Network 1,District,District,All Grades,1186,9,0.76,1177,99.24,20,1.69,1166,98.31,570,48.06,615,51.85,0,0,293,24.7,213,17.96,91,7.67,101,8.52,2,0.17,486,40.98,48.57
2022-2023,2160,Furness High School,Network 13,District,District,All Grades,743,379,51.01,364,48.99,130,17.5,613,82.5,460,61.91,283,38.09,0,0,217,29.21,135,18.17,307,41.32,31,4.17,0,0,53,7.13,100
